TOTAL	consts	13905
TOTAL	const_rej	7232
TOTAL	thms	150439
TOTAL	thm_rej	58260
CONST	sumC_graph	HOL-Decision_Procs.Approximation	15
CONST	adt_record	HOL-Library.Lattice_Constructions	3
CONST	class_infix	HOL-Analysis.Elementary_Topology	1
CONST	class_infix	HOL-Computational_Algebra.Primes	4
CONST	class_pred	Dirichlet_Series.Dirichlet_Series	2
CONST	class_variant	HOL-Number_Theory.Eratosthenes	1
CONST	concealed	Budan_Fourier.Sturm_Multiple_Roots	2
CONST	concealed	Count_Complex_Roots.Extended_Sturm	2
CONST	concealed	Dirichlet_Series.Dirichlet_Product	2
CONST	hidden	Polynomial_Factorization.Missing_List	3
CONST	inst_infix	Dirichlet_Series.Dirichlet_Series	14
CONST	inst_infix	HOL-Library.Lattice_Constructions	47
CONST	inst_infix	HOL-Probability.Discrete_Topology	4
CONST	class_infix	Dirichlet_Series.Dirichlet_Series	2
CONST	class_pred	HOL-Decision_Procs.Polynomial_List	1
CONST	concealed	Gaussian_Integers.Gaussian_Integers	22
CONST	concealed	HOL-Decision_Procs.Commutative_Ring	98
CONST	concealed	HOL-Decision_Procs.Reflective_Field	112
CONST	concealed	HOL-Probability.Random_Permutations	4
CONST	concealed	IsaGeoCoq.Tarski_Neutral_Archimedes	12
CONST	concealed	Landau_Symbols.Landau_Real_Products	50
CONST	concealed	Pratt_Certificate.Pratt_Certificate	57
CONST	inst_infix	Rank_Nullity_Theorem.Miscellaneous	1
CONST	sumC_graph	Budan_Fourier.Sturm_Multiple_Roots	1
CONST	sumC_graph	Count_Complex_Roots.Extended_Sturm	1
CONST	sumC_graph	Dirichlet_Series.Dirichlet_Product	1
CONST	class_pred	HOL.Conditionally_Complete_Lattices	3
CONST	class_variant	HOL-Analysis.Elementary_Topology	2
CONST	class_variant	HOL-Computational_Algebra.Primes	1
CONST	concealed	HOL-Computational_Algebra.Nth_Powers	2
CONST	concealed	HOL-Computational_Algebra.Polynomial	23
CONST	concealed	HOL-Real_Asymp.Multiseries_Expansion	507
CONST	concealed	Jordan_Normal_Form.Column_Operations	4
CONST	inst_infix	Gaussian_Integers.Gaussian_Integers	22
